Título: Homem-Formiga e a Vespa | Nota: 7.6 
Título: Jurassic World: Reino Ameaçado | Nota: 6.6 
Título: A Primeira Noite de Crime | Nota: 5.3 
Título: Os Incríveis 2 | Nota: 8.2 
Título: Arranha-Céu: Coragem Sem Limite | Nota: 6.2 
Título: Vingadores: Guerra Infinita | Nota: 8.7 
Título: Hotel Transilvânia 3: Férias Monstruosas | Nota: 6.4 
Título: Sicário: Dia do Soldado | Nota: 7.3 
Título: Missão: Impossível - Efeito Fallout | Nota: 9.5 
Título: Um Lugar Silencioso | Nota: 7.8 
Título: Deadpool 2 | Nota: 8.1 
Título: Jogador Nº 1 | Nota: 7.7 
Título: Oito Mulheres e um Segredo | Nota: 6.4 
Título: Não Vai Dar | Nota: 6.4 
Título: Liga da Justiça | Nota: 6.6 
Título: It: A Coisa | Nota: 7.4 
Título: O Predador | Nota:  
Título: Te Peguei! | Nota: 6.9 
Título: Próxima Parada Apocalipse | Nota: 5.1 
Título: Hereditário | Nota: 7.6 
Título: Super Troopers 2 | Nota: 6.4 
Título: Mamma Mia! Lá Vamos Nós de Novo | Nota:  
Título: Escape Plan 2: Hades | Nota: 3.7 
Título: Jumanji: Bem-Vindo à Selva | Nota: 7.0 
Título: Sorry to Bother You | Nota: 7.3 
Título: Pantera Negra | Nota: 7.5 
Título: Tau | Nota: 5.7 
Título: Tomb Raider: A Origem | Nota: 6.4 
Título: O Rei do Show | Nota: 7.7 
Título: Homem-Formiga | Nota: 7.3 
Título: Capitã Marvel | Nota:  
Título: Thor: Ragnarok | Nota: 7.9 
Título: Once Upon a Time in Hollywood | Nota:  
Título: Jurassic Park: Parque dos Dinossauros | Nota: 8.1 
Título: Rampage: Destruição Total | Nota: 6.2 
Título: Han Solo: Uma História Star Wars | Nota: 7.1 
Título: A Noite do Jogo | Nota: 7.0 
Título: Os Incríveis | Nota: 8.0 
Título: It: A Coisa, Capítulo 2 | Nota:  
Título: Sicario: Terra de Ninguém | Nota: 7.6 
Título: Siberia | Nota: 4.8 
Título: O Mistério do Relógio na Parede | Nota:  
Título: Tio Drew | Nota: 5.7 
Título: Desobediência | Nota: 6.7 
Título: Operação Red Sparrow | Nota: 6.6 
Título: Goosebumps 2: Halloween Assombrado | Nota:  
Título: Assassination Nation | Nota: 5.5 
Título: Ilha dos Cachorros | Nota: 8.1 
Título: Blade Runner 2049 | Nota: 8.1 
Título: A Barraca do Beijo | Nota: 6.4 
Título: Um Pequeno Favor | Nota:  
Título: Calibre | Nota: 6.7 
Título: Vidas à Deriva | Nota: 6.7 
Título: Megatubarão | Nota:  
Título: Traffik | Nota: 6.6 
Título: Mandy | Nota: 7.9 
Título: Whitney | Nota: 7.0 
Título: X-Men: Fênix Negra | Nota:  
Título: Sanju | Nota: 8.7 
Título: Jurassic World: O Mundo dos Dinossauros | Nota: 7.0 
Título: Aniquilação | Nota: 7.0 
Título: Kingsman: O Círculo Dourado | Nota: 6.8 
Título: Extinction | Nota:  
Título: Star Wars: Os Últimos Jedi | Nota: 7.3 
Título: Mamma Mia! O Filme | Nota: 6.4 
Título: Don't Worry, He Won't Get Far on Foot | Nota: 6.9 
Título: Mile 22 | Nota:  
Título: Com Amor, Simon | Nota: 7.8 
Título: Círculo de Fogo: A Revolta | Nota: 5.7 
Título: O Culto | Nota: 6.6 
Título: Aquaman | Nota:  
Título: Glass | Nota:  
Título: The Legacy of a Whitetail Deer Hunter | Nota: 5.5 
Título: Gotti | Nota: 4.7 
Título: Capitão América: Guerra Civil | Nota: 7.8 
Título: Won't You Be My Neighbor? | Nota: 8.7 
Título: Summer of 84 | Nota: 5.9 
Título: Viva - A Vida é uma Festa | Nota: 8.4 
Título: Untitled Avengers Movie | Nota:  
Título: O Plano Imperfeito | Nota: 6.6 
Título: Homem-Aranha: De Volta ao Lar | Nota: 7.5 
Título: Mulher-Maravilha | Nota: 7.5 
Título: A Forma da Água | Nota: 7.4 
Título: Covil de Ladrões | Nota: 7.0 
Título: Eighth Grade | Nota: 7.9 
Título: O Poderoso Chefão | Nota: 9.2 
Título: Guardiões da Galáxia | Nota: 8.1 
Título: Mary Queen of Scots | Nota:  
Título: Meu Ex é um Espião | Nota:  
Título: Baywatch: S.O.S. Malibu | Nota: 5.6 
Título: Desejo de Matar | Nota: 6.4 
Título: Deadpool | Nota: 8.0 
Título: Uma Noite de Crime | Nota: 5.7 
Título: Hotel Artemis | Nota: 6.3 
Título: Creed II | Nota:  
Título: Sexy por Acidente | Nota: 5.0 
Título: Harry Potter e a Pedra Filosofal | Nota: 7.6 
Título: Tempestade: Planeta em Fúria | Nota: 5.3 
Título: O Protetor 2 | Nota:  
Título: Croc-Blanc | Nota: 6.9 
